%-----------------------------------------------------------------------------
%                R.A. (mas)        Dec. (mas)        Err. (mas)     Corr. Del.
% Uncertainty in R.A. is in R.A. cos(Dec.)!!!!
%-----------------------------------------------------------------------------
47659.248    8.141665511502 -315.696200400595    1.0483    4.0583   0.163   15
55300.227    1.439156726732   -0.018701999949    1.0541    1.6036   0.180   20
55320.207    0.026389675328   -0.167702399967    0.2707    0.3666   0.280   26
55321.229   -0.065365970696    0.213199199894    0.3452    0.5144  -0.173   29
55334.207    0.237935021401    0.068198399727    0.1429    0.2454  -0.204   41
55335.229    0.397607833528    0.259300800032    0.5134    0.8298   0.134    5
55336.248    1.927919275305   -7.054801200024    0.7679    4.3045  -0.432    7
55342.209    0.425645466957    0.509000399429    0.1435    0.4636   0.317   42
55349.207    0.127738280382   -0.196200000246    0.1768    0.2055  -0.093   19
55362.207    0.134636151920    0.524300399896    0.1200    0.5107   0.026   58
55371.250   -0.494008780337    0.641699999537    0.1220    0.3361  -0.290  229
55377.229   -0.528044729672    0.086997599524    0.3022    0.3440  -0.262   21
55383.000   -0.446482922522   -1.921201200528    0.6253    1.5723   0.197   35
55397.209   -0.221890338110    2.668600799538    0.5198    1.5107  -0.321   26
55398.228    2.469158817074    1.053399599549   10.7523    4.9211   0.983    3
55400.269   -0.184709472333    0.236098799711    0.2564    0.6494  -0.228   62
55407.271   -0.488611395410    0.542599199971    0.3817    1.1203   0.273   15
55411.209   -0.638989873160    0.158299199349    0.2741    0.4081  -0.400   32
55418.207    0.154127904576   -1.438801200582    0.3520    0.7632  -0.472    6
55421.271    0.138533050236   -1.172599200139    0.1665    0.4872   0.039   32
55435.271    0.792966675707    0.036399599335    0.4545    0.7518  -0.147   24
55439.209    0.461329425528   -0.203500800211    0.2037    0.3329   0.066   62
55442.269    0.072717250589   -0.435902400575    0.4431    0.3183  -0.341    4
55449.271   -0.681420550106   -0.213001200677    0.3563    0.5647  -0.109   22
55454.228   -0.008693352263    0.008999999945    0.0936    0.1757  -0.017  216
55456.269   -0.349031266918    0.419997599899    0.3902    0.5420  -0.030   14
55460.207    0.008697033937    0.142898399513    0.2327    0.3143   0.197   24
55463.271   -0.295355991169    0.204299999318    0.3043    0.5608   0.464   46
55470.269    0.092507730167   -2.506802400060    3.0469   21.2535  -0.972    9
55477.268    0.347232155654   -1.855202400503    0.5682    0.5966   0.311    4
55483.229   -0.298803111668    0.769798799904    0.1079    0.4433   0.210  246
55484.270    0.226093122157    0.367300799375    0.2924    0.4431   0.290   14
55491.293    0.249931602079   -0.924300000538    0.2360    0.4165  -0.050   13
55498.273    0.230889627239   -2.894500800643    0.5780    1.2939  -0.694    7
55505.271   -0.048724038099    0.401698799823    0.4836    0.6424   0.366   15
55512.270    0.239435456878   -0.000100800168    0.2328    0.4289  -0.056   24
55516.207   -0.108095323429    0.081899999582    0.1315    0.1812  -0.097   38
55517.230   42.770425792437  -64.561600800683   58.2895   81.3204  -1.000    3
55524.268    0.929401938892    0.962200799837    0.4761    0.7625  -0.061   27
55525.999    0.523546951512    2.077797599576    0.4276    1.2663  -0.361   41
55533.271    0.980378496611   -0.057401999953    0.7998    1.3540   0.653    8
55540.270   -0.231188200758    0.052700400044    0.2819    0.3729  -0.041   17
55546.249   -0.138982776917    0.465598799515    0.3105    0.9071   0.419   33
55547.271    0.103450022644   -2.013800400036    0.3330    1.0355  -0.109   33
55551.209    0.070317208346   -0.151002000504    0.0899    0.2027   0.201   92
55560.271    0.016044683291    1.368399600032    0.3300    0.6636  -0.083   26
55568.270    0.685170028066   -9.704001600674    0.4861    1.4143   0.507    7
55572.207   -0.118141690813    0.293698799680    0.1035    0.2388  -0.006   53
55575.272    0.277818133480    0.075200399507    0.2610    0.6699  -0.168   68
55582.270   -0.151875333822   -1.080201600168    0.3697    0.7058   0.143   54
55596.270   -0.517998362287   -1.413399600558    0.4630    0.6265   0.394   80
55600.207   -0.107645545612   -0.585799200348    0.1744    0.7031   0.323   13
55603.268   -0.031333651900    1.524898800032    0.5760    1.7112  -0.354   16
55615.230    0.054873507169   -0.388699200027    0.1754    0.2448   0.177   18
55621.209   -0.073314551029    0.642200400058    0.1969    0.8314  -0.520   27
55624.270    1.217561433869   -0.733301999922    0.7221    0.8573   0.167    4
55631.272    0.301955238054    0.795200399928    0.7010    0.8047   0.035    6
55642.207    0.146179375377   -1.955800800513    0.4288    1.0173   0.035   27
55645.272   -0.390709910856   -0.169999200317    0.1992    0.6784  -0.093   20
