,MJD,Dec. (micas),Err. Dec. (micas)
655,49882.251,610.898391074,473.9
656,49883.335999999996,550.598414861,499.2
657,49896.251,348.99839818099997,479.2
658,49904.25,1399.7016026219999,711.2
659,49910.251,-348.501592384,486.9
660,49914.167,1932.800390136,742.3
661,49917.253,1018.9008037289999,586.6
662,49923.002,-210.700807202,299.9
663,49924.251,-1091.699991207,469.5
664,49930.168,-597.700807248,2139.7
665,49931.25,433.50119653999997,416.5
666,49938.251,-751.798802412,858.6
667,49945.253,742.2012060940001,477.2
668,49952.251,-361.900794132,307.3
669,49959.25,-533.0987875139999,339.8
670,49966.251,365.698792848,283.8
671,49980.252,-518.101197144,418.0
672,49994.252,-316.59840829,282.2
673,50008.252,198.29879818199998,323.2
674,50022.252,195.90120246,273.1
675,50036.252,684.698403575,257.6
676,50050.252,-28.000795282000002,659.3
677,50064.252,241.40159951,205.9
678,50078.252,-86.000403599,261.6
679,50084.998,-842.799596512,283.4
680,50092.252,-356.299207738,311.8
681,50113.25,-598.499988769,333.1
682,50120.252,478.101603107,226.1
683,50148.252,-116.899207114,215.0
684,50155.831,-1202.10120258,689.3000000000001
685,50168.169,654.1992036089999,499.90000000000003
686,50169.25,438.501612621,213.79999999999998
687,50176.252,232.801195921,245.9
688,50183.25,-132.69958572000002,300.0
689,50197.009000000005,139.60079172599998,834.5
690,50198.335,572.4000089909999,236.6
691,50204.252,240.699594656,280.6
692,50205.333,304.40159832800003,237.2
693,50218.252,282.60000419799997,290.4
694,50219.333,-121.100390515,264.2
695,50232.252,1094.19839589,390.29999999999995
696,50242.333,80.899204136,332.1
697,50246.252,-643.600807848,336.0
698,50253.254,175.798805913,311.7
699,50255.025,1492.200001962,427.70000000000005
700,50256.026,-579.4992006260001,536.2
701,50260.252,-199.198788664,256.90000000000003
