   DATE        X           sigma      Y         sigma 
48715.2480      0.212      0.206     -0.207      0.201 
48716.2290     -0.163      0.093     -0.005      0.110 
48718.8360      0.212      0.144     -0.013      0.190 
48720.4180     -0.002      0.304      0.063      0.227 
48722.2500      0.177      0.218     -0.511      0.138 
48723.0180      0.028      0.084     -0.150      0.079 
48725.5560     -0.088      0.300      0.344      0.185 
48726.0840     -0.108      0.205      0.546      0.232 
48727.1670     -0.089      0.082     -0.141      0.103 
48728.2500      0.067      0.160     -0.041      0.117 
48730.8390     -0.174      0.104     -0.007      0.081 
48732.4090     -0.074      0.194     -0.114      0.262 
48733.2530     -0.591      0.479      0.240      0.328 
48734.3360     -0.157      0.085     -0.016      0.070 
48736.2500     -0.084      0.157     -0.170      0.123 
48739.8350      0.152      0.124     -0.278      0.181 
48741.1700     -0.569      0.221     -0.472      0.225 
48743.2550      0.180      0.141     -0.143      0.101 
48746.8340      0.129      0.289     -0.583      0.478 
48748.1700     -0.090      0.096      0.053      0.110 
48749.0760     -0.070      0.721     -0.377      0.662 
48750.2510      0.070      0.153     -0.273      0.107 
48752.0720      0.051      0.108     -0.299      0.161 
48753.0270    -14.129      6.123      2.065      8.683 
48753.8340     -0.074      0.135     -0.280      0.182 
48755.0180      0.537      0.353     -0.101      0.493 
48756.8640      0.366      0.236     -0.056      0.327 
48758.3390      0.391      0.334      0.288      0.394 
48759.4210     -0.035      0.251     -0.648      0.378 
48760.8320      0.224      0.109     -0.574      0.154 
48763.1690      0.145      0.205     -0.100      0.146 
48764.0610     -0.282      0.172      0.243      0.178 
48765.3320     -0.033      0.122      0.082      0.090 
48766.3850     -1.532      1.154      2.679      0.662 
48767.8360      0.243      0.157      0.123      0.175 
48770.1730     -0.197      0.238     -0.089      0.198 
48771.2420     -0.144      0.161     -0.352      0.135 
48772.3360      0.340      0.157     -0.312      0.149 
48773.4230      0.293      0.229      0.060      0.160 
48774.8350     -0.296      0.187      0.169      0.208 
48775.9150      0.020      0.230     -0.065      0.158 
48776.9960     -0.126      0.221     -0.296      0.168 
48778.2500      0.089      0.221     -0.456      0.238 
48781.8360      0.577      0.181     -0.088      0.182 
48785.3000      0.679      1.003     -0.082      0.789 
48786.3370      0.375      0.173      0.719      0.223 
48787.0460     -0.060      0.271     -0.008      0.278 
48788.8330      0.051      0.269     -0.606      0.260 
48790.1680     -0.811      0.186     -0.210      0.142 
48790.8890      9.526     12.209     -8.280     12.438 
48791.9320     12.398      8.084      2.536     10.460 
48793.3360     -0.006      0.160     -1.189      0.223 
48794.4220     -0.137      0.257      0.113      0.173 
48795.8340      0.367      0.205      0.201      0.224 
48797.1690     -0.040      0.094      0.019      0.102 
48798.7960      1.572      1.258      2.567      1.022 
48799.9180     -0.728      1.795     -1.409      1.476 
48801.7520      1.083      1.352      0.206      0.943 
48802.8320      0.533      0.158     -0.438      0.140 
48804.4180      0.277      0.096     -0.476      0.088 
48805.5020     -0.436      0.210     -0.339      0.181 
48809.8360      0.358      0.185     -0.195      0.157 
48811.0000      0.201      0.407     -0.086      0.566 
48812.0620     -0.137      0.076     -0.167      0.114 
48813.3300     -0.277      0.140     -0.173      0.164 
48816.8350      0.044      0.125      0.097      0.105 
48819.1700     -0.171      0.094     -0.134      0.077 
48820.2520     -0.515      0.148     -0.581      0.187 
48821.3320     -0.236      0.106     -0.258      0.131 
48823.8430     -0.025      0.254     -0.092      0.252 
48825.3340     -0.042      0.054     -0.287      0.051 
48825.8360      1.210      3.220      1.061      2.485 
48826.3370     -0.035      0.056     -0.232      0.053 
48827.4210      0.160      0.218     -0.242      0.161 
48828.6680     -0.080      0.181     -0.492      0.215 
48829.7490     -0.082      0.240     -0.107      0.205 
48830.8340     -0.101      0.221     -0.327      0.169 
48831.8760      0.027      0.067     -0.347      0.075 
48833.1260      0.030      0.059     -0.382      0.058 
48834.2490     -0.126      0.134     -0.385      0.199 
48835.4160     -0.321      0.079     -0.027      0.082 
48836.6680     -0.340      0.068     -0.274      0.076 
48837.8360     -0.151      0.185     -0.057      0.141 
48838.8800      0.004      0.091     -0.069      0.095 
48840.1260     -0.173      0.073     -0.486      0.088 
48841.2530     -0.175      0.100      0.019      0.142 
48842.4170     -0.126      0.065     -0.555      0.067 
48843.6670     -0.214      0.061     -0.143      0.068 
48844.8330      0.414      0.184      0.162      0.141 
48846.1640     -0.182      0.063     -0.362      0.076 
48847.2580     -0.152      0.213     -0.353      0.179 
48848.2500     -0.340      0.117     -0.353      0.152 
48851.8370     -0.371      0.187     -0.173      0.186 
48853.1660     -0.213      0.100     -0.305      0.083 
48855.2510     -0.030      0.138     -0.372      0.157 
48856.3330      0.197      0.390     -0.478      0.259 
